"","x"
"137","[100.4687,104.932)"
"138","[104.932,113.4001]"
"139","[104.932,113.4001]"
"140","[92.53,96.47333)"
"141","[96.47333,100.4687)"
"142","[84.09767,92.53)"
"143","[92.53,96.47333)"
"144","[92.53,96.47333)"
"145","[84.09767,92.53)"
"146","[104.932,113.4001]"
"147","[104.932,113.4001]"
"148","[92.53,96.47333)"
"149","[92.53,96.47333)"
"150","[92.53,96.47333)"
"151","[100.4687,104.932)"
"152","[96.47333,100.4687)"
"153","[92.53,96.47333)"
"154","[100.4687,104.932)"
"155","[104.932,113.4001]"
"156","[92.53,96.47333)"
"157","[104.932,113.4001]"
"158","[104.932,113.4001]"
"159","[84.09767,92.53)"
"160","[96.47333,100.4687)"
"161","[100.4687,104.932)"
"162","[96.47333,100.4687)"
"163","[100.4687,104.932)"
"164","[96.47333,100.4687)"
"165","[100.4687,104.932)"
"166","[104.932,113.4001]"
"167","[96.47333,100.4687)"
"168","[96.47333,100.4687)"
"169","[92.53,96.47333)"
"170","[92.53,96.47333)"
"171","[100.4687,104.932)"
"172","[100.4687,104.932)"
"173","[92.53,96.47333)"
"174","[104.932,113.4001]"
"175","[96.47333,100.4687)"
"176","[104.932,113.4001]"
"177","[96.47333,100.4687)"
"178","[96.47333,100.4687)"
"179","[84.09767,92.53)"
"180","[96.47333,100.4687)"
"181","[100.4687,104.932)"
"182","[92.53,96.47333)"
"183","[100.4687,104.932)"
"184","[92.53,96.47333)"
"185","[100.4687,104.932)"
"186","[104.932,113.4001]"
"187","[92.53,96.47333)"
"188","[96.47333,100.4687)"
"189","[100.4687,104.932)"
"190","[92.53,96.47333)"
"191","[92.53,96.47333)"
"192","[92.53,96.47333)"
"193","[96.47333,100.4687)"
"194","[96.47333,100.4687)"
"195","[92.53,96.47333)"
"196","[96.47333,100.4687)"
"197","[104.932,113.4001]"
"198","[100.4687,104.932)"
"199","[96.47333,100.4687)"
"200","[96.47333,100.4687)"
